prop_price,prop_title,prop_location,prop_size
"65,000 OMR",Al Barka chalet in the al Ibar  استراحة في العبر بركا,"Al Batinah, Barka",Al Barka chalet in the al Ibar  استراحة في العبر بركا
"70,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"39,500 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"17,500 OMR",Residential Land for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",Residential Land for Sale in Al Batinah Al Rumais
"13,500 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"180,000 OMR",421 m2 5 Bedrooms Townhouse for Sale in Muscat Al Khuwair,"Muscat, Al Khuwair",421 m2 5 Bedrooms Townhouse for Sale in Muscat Al Khuwair
"14,000 OMR",Residential Land for Sale in Al Dakhiliya Manah,"Al Dakhiliya, Manah",Residential Land for Sale in Al Dakhiliya Manah
"75,000 OMR",240 m2 5 Bedrooms Villa for Sale in Muscat Al Khoud,"Muscat, Al Khoud",240 m2 5 Bedrooms Villa for Sale in Muscat Al Khoud
"370,000 OMR",1198 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",1198 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah
"2,000 OMR",للبيع سجل تجاري مقهى,"Al Dhahirah, Ibri",للبيع سجل تجاري مقهى
"7,500 OMR",Residential Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Residential Land for Sale in Al Batinah Sohar
480 OMR,400 m2 More than 6 bedrooms Townhouse for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",400 m2 More than 6 bedrooms Townhouse for Sale in Muscat Al Maabilah
"38,000 OMR",Commercial Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Commercial Land for Sale in Al Batinah Barka
"4,000 OMR",Residential Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Residential Land for Sale in Al Batinah Sohar
"48,000 OMR",1 Bedroom Farms for Sale in Al Batinah Barka,"Al Batinah, Barka",1 Bedroom Farms for Sale in Al Batinah Barka
"52,000 OMR",230 m2 3 Bedrooms Villa for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",230 m2 3 Bedrooms Villa for Sale in Al Batinah Al Rumais
"42,000 OMR",120 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",120 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah
"380,000 OMR",Building for Sale in Muscat Other,"Muscat, Other",Building for Sale in Muscat Other
"2,121 OMR",Land for Sale in Al Sharqiya Sur,"Al Sharqiya, Sur",Land for Sale in Al Sharqiya Sur
"90,000 OMR",Residential Land for Sale in Muscat Seeb,"Muscat, Seeb",Residential Land for Sale in Muscat Seeb
"220,000 OMR",Building for Sale in Al Batinah Liwa,"Al Batinah, Liwa",Building for Sale in Al Batinah Liwa
"75,000 OMR",ITC Freehold Apartments  Muscat’s Hidden Gems — With Agent Cena,"Muscat, Muscat Hills",ITC Freehold Apartments  Muscat’s Hidden Gems — With Agent Cena
"25,000 OMR",62 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",62 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh
"60,000 OMR",Farm Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Farm Land for Sale in Al Batinah Barka
"4,000 OMR",Residential Land for Sale in Al Batinah Shinas,"Al Batinah, Shinas",Residential Land for Sale in Al Batinah Shinas
"26,000 OMR",Mixed Use Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Mixed Use Land for Sale in Al Batinah Sohar
"57,500 OMR",288 m2 4 Bedrooms Townhouse for Sale in Al Batinah Barka,"Al Batinah, Barka",288 m2 4 Bedrooms Townhouse for Sale in Al Batinah Barka
"18,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"75,000 OMR",300 m2 5 Bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",300 m2 5 Bedrooms Villa for Sale in Muscat Amerat
"17,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"18,500 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"11,500 OMR",Residential Land for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",Residential Land for Sale in Al Batinah Suwaiq
"22,000 OMR",86 m2 2 Bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",86 m2 2 Bedrooms Villa for Sale in Muscat Al Maabilah
"42,000 OMR",208 m2 3 Bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",208 m2 3 Bedrooms Villa for Sale in Muscat Amerat
"1,300,000 OMR",Mixed Use Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Mixed Use Land for Sale in Al Batinah Barka
"30,000 OMR",Residential Land for Sale in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",Residential Land for Sale in Al Dakhiliya Sumail
"18,000 OMR",Residential Land for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",Residential Land for Sale in Al Batinah Suwaiq
"95,000 OMR",للبيع وللإيجار معرض مفتوح بالكامل في الموالح خط أول شارع الموج تكييف مركزي  المساحه 125 متر,"Muscat, Al Mawaleh",للبيع وللإيجار معرض مفتوح بالكامل في الموالح خط أول شارع الموج تكييف مركزي  المساحه 125 متر
"43,000 OMR",250 m2 3 Bedrooms Townhouse for Sale in Dhofar Salala,"Dhofar, Salala",250 m2 3 Bedrooms Townhouse for Sale in Dhofar Salala
"180,000 OMR",Commercial Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Commercial Land for Sale in Muscat Al Maabilah
"4,700 OMR",Residential Land for Sale in Buraimi Al Buraimi,"Buraimi, Al Buraimi",Residential Land for Sale in Buraimi Al Buraimi
"11,100 OMR",150 m2 4 Bedrooms Townhouse for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",150 m2 4 Bedrooms Townhouse for Sale in Al Batinah Al Masnaah
"72,000 OMR",Mixed Use Land for Sale in Muscat Ansab,"Muscat, Ansab",Mixed Use Land for Sale in Muscat Ansab
"23,800 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"9,000 OMR",Cafe for sale in bosher,"Muscat, Bosher",Cafe for sale in bosher
"7,000 OMR",Residential Land for Sale in Al Sharqiya Ibra,"Al Sharqiya, Ibra",Residential Land for Sale in Al Sharqiya Ibra
"23,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"3,000 OMR",محل حلاقة للبيغ,"Dhofar, Other",محل حلاقة للبيغ
"32,000 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"8,000 OMR",Residential Land for Sale in Al Batinah Saham,"Al Batinah, Saham",Residential Land for Sale in Al Batinah Saham
"53,000 OMR",175 m2 3 Bedrooms Villa for Sale in Al Batinah Barka,"Al Batinah, Barka",175 m2 3 Bedrooms Villa for Sale in Al Batinah Barka
"170,000 OMR",650 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",650 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah
"25,000 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"6,500 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"30,000 OMR",Residential Land for Sale in Dhofar Taqah,"Dhofar, Taqah",Residential Land for Sale in Dhofar Taqah
"7,000 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"150,000 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"7,500 OMR",Residential Land for Sale in Dhofar Sadah,"Dhofar, Sadah",Residential Land for Sale in Dhofar Sadah
"50,000 OMR",Commercial Land for Sale in Dhofar Salala,"Dhofar, Salala",Commercial Land for Sale in Dhofar Salala
"10,800 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"23,000 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"7,000 OMR",Residential Land for Sale in Dhofar Mirbat,"Dhofar, Mirbat",Residential Land for Sale in Dhofar Mirbat
"9,000 OMR",Residential Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Residential Land for Sale in Al Batinah Sohar
"15,000 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"65,000 OMR",3 Bedrooms Farms for Sale in Dhofar Mirbat,"Dhofar, Mirbat",3 Bedrooms Farms for Sale in Dhofar Mirbat
"60,000 OMR",299 m2 5 Bedrooms Villa for Sale in Dhofar Salala,"Dhofar, Salala",299 m2 5 Bedrooms Villa for Sale in Dhofar Salala
"80,000 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"78,000 OMR",Building for Sale in Dhofar Salala,"Dhofar, Salala",Building for Sale in Dhofar Salala
"12,000 OMR",Commercial Land for Sale in Dhofar Mirbat,"Dhofar, Mirbat",Commercial Land for Sale in Dhofar Mirbat
"2,500 OMR",280 m2 5 Bedrooms Villa for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",280 m2 5 Bedrooms Villa for Sale in Al Batinah Al Masnaah
"46,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"6,500 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"5,500 OMR",محل قهوه مختص مع العامل خبره 10 سنوات تقريبا فالمجال,"Al Sharqiya, Al Kamil and Al Waafi",محل قهوه مختص مع العامل خبره 10 سنوات تقريبا فالمجال
"1,406,000 OMR",Sustainable investment  ا oman   ا Buy installment property ا Family permanent residence,"Muscat, Al Mouj",Sustainable investment  ا oman   ا Buy installment property ا Family permanent residence
"53,000 OMR",262 m2 3 Bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",262 m2 3 Bedrooms Villa for Sale in Muscat Amerat
"5,000 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"52,000 OMR",227 m2 3 Bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",227 m2 3 Bedrooms Villa for Sale in Muscat Amerat
"12,300 OMR",Mixed Use Land for Sale in Dhofar Thumrait,"Dhofar, Thumrait",Mixed Use Land for Sale in Dhofar Thumrait
"95,000 OMR",381 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",381 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat
"65,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"33,000 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"5,200 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"19,500 OMR",Mixed Use Land for Sale in Al Dhahirah Ibri,"Al Dhahirah, Ibri",Mixed Use Land for Sale in Al Dhahirah Ibri
"1,000 OMR",Residential Land for Sale in Al Dhahirah Ibri,"Al Dhahirah, Ibri",Residential Land for Sale in Al Dhahirah Ibri
"36,000 OMR",Farm Land for Sale in Al Dakhiliya Bahla,"Al Dakhiliya, Bahla",Farm Land for Sale in Al Dakhiliya Bahla
"9,000 OMR",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali
"59,800 OMR",390 m2 5 Bedrooms Townhouse for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",390 m2 5 Bedrooms Townhouse for Sale in Al Batinah Suwaiq
"56,000 OMR",120 m2 2 Bedrooms Apartments for Sale in Muscat Bosher,"Muscat, Bosher",120 m2 2 Bedrooms Apartments for Sale in Muscat Bosher
"40,000 OMR",Farm Land for Sale in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",Farm Land for Sale in Al Dakhiliya Sumail
"3,000 OMR",Kitchen cabinet showroom,"Al Batinah, Barka",Kitchen cabinet showroom
"30,000 OMR",258 m2 3 Bedrooms Townhouse for Sale in Al Dakhiliya Izki,"Al Dakhiliya, Izki",258 m2 3 Bedrooms Townhouse for Sale in Al Dakhiliya Izki
"110,000 OMR",480 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud,"Muscat, Al Khoud",480 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud
"20,000 OMR",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali
"10,500 OMR",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",Residential Land for Sale in Al Sharqiya Ja'alan Bani Bu Ali
"30,000 OMR",Residential Land for Sale in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",Residential Land for Sale in Al Dakhiliya Sumail
"5,800 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"95,000 OMR",131 m2 2 Bedrooms Apartments for Sale in Muscat Al-Sifah,"Muscat, Al-Sifah",131 m2 2 Bedrooms Apartments for Sale in Muscat Al-Sifah
"100,000 OMR",107 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj,"Muscat, Al Mouj",107 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj
"78,000 OMR",61 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj,"Muscat, Al Mouj",61 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj
"1,000 OMR",تسويق مجاني لعقارات الموج مسقط!Free marketing for the real estate of muscatmouj!,"Dhofar, Salala",تسويق مجاني لعقارات الموج مسقط!Free marketing for the real estate of muscatmouj!
"430,000 OMR",Special sale of 2-story villa with 3 bedrooms + permanent residence,"Muscat, Al Mouj",Special sale of 2-story villa with 3 bedrooms + permanent residence
"8,000,000 OMR",مكاتب فخمة في مركز اعمال الموج ‏AL Mouj Business Park,"Muscat, Al Mouj",مكاتب فخمة في مركز اعمال الموج ‏AL Mouj Business Park
"573,300 OMR",455 m2 5 Bedrooms Villa for Sale in Muscat Al Mouj,"Muscat, Al Mouj",455 m2 5 Bedrooms Villa for Sale in Muscat Al Mouj
"270,000 OMR",Luxury apartment in Al Mouj Juman one  2BHK plus maid room,"Muscat, Al Mouj",Luxury apartment in Al Mouj Juman one  2BHK plus maid room
"177,000 OMR",520 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",520 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah
470 OMR,263 m2 4 Bedrooms Villa for Sale in Al Sharqiya Ibra,"Al Sharqiya, Ibra",263 m2 4 Bedrooms Villa for Sale in Al Sharqiya Ibra
"96,000 OMR",Almouj garden4 luxury apartment,"Muscat, Al Mouj",Almouj garden4 luxury apartment
"1,690 OMR",Residential Land for Sale in Al Batinah Saham,"Al Batinah, Saham",Residential Land for Sale in Al Batinah Saham
"19,990 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"87,000 OMR",330 m2 4 Bedrooms Villa for Sale in Muscat Bosher,"Muscat, Bosher",330 m2 4 Bedrooms Villa for Sale in Muscat Bosher
"6,490 OMR",Residential Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Residential Land for Sale in Al Batinah Sohar
"8,700 OMR",Residential Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Residential Land for Sale in Al Batinah Sohar
"4,000 OMR",Residential Land for Sale in Al Batinah Suwaiq,"Al Batinah, Suwaiq",Residential Land for Sale in Al Batinah Suwaiq
"24,000 OMR",Residential Land for Sale in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",Residential Land for Sale in Al Dakhiliya Nizwa
"20,000 OMR",250 m2 5 Bedrooms Townhouse for Sale in Al Batinah Saham,"Al Batinah, Saham",250 m2 5 Bedrooms Townhouse for Sale in Al Batinah Saham
"38,000 OMR",Industrial Land for Sale in Al Batinah Sohar,"Al Batinah, Sohar",Industrial Land for Sale in Al Batinah Sohar
"67,000 OMR",314 m2 5 Bedrooms Villa for Sale in Muscat Amerat,"Muscat, Amerat",314 m2 5 Bedrooms Villa for Sale in Muscat Amerat
"27,000 OMR",Residential Land for Sale in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",Residential Land for Sale in Al Dakhiliya Sumail
"17,500 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"88,000 OMR",Residential Land for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",Residential Land for Sale in Muscat Al Mawaleh
"30,000 OMR",Residential Land for Sale in Muscat Seeb,"Muscat, Seeb",Residential Land for Sale in Muscat Seeb
"32,000 OMR",122 m2 3 Bedrooms Apartments for Sale in Muscat Amerat,"Muscat, Amerat",122 m2 3 Bedrooms Apartments for Sale in Muscat Amerat
"2,000 OMR",بقالة جاهزة للبيع بسعر مغري سوبر ماركت,"Al Batinah, Wadi Al Ma'awal",بقالة جاهزة للبيع بسعر مغري سوبر ماركت
"60,000 OMR",296 m2 4 Bedrooms Villa for Sale in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",296 m2 4 Bedrooms Villa for Sale in Al Dakhiliya Sumail
"5,700 OMR",Industrial Land for Sale in Dhofar Muqshin,"Dhofar, Muqshin",Industrial Land for Sale in Dhofar Muqshin
"19,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"18,500 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"48,000 OMR",134 m2 3 Bedrooms Apartments for Sale in Muscat Al Khoud,"Muscat, Al Khoud",134 m2 3 Bedrooms Apartments for Sale in Muscat Al Khoud
"9,500 OMR",48 m2 Studio Apartments for Sale in Muscat Halban,"Muscat, Halban",48 m2 Studio Apartments for Sale in Muscat Halban
"45,000 OMR",52 m2 Studio Apartments for Sale in Muscat Al-Sifah,"Muscat, Al-Sifah",52 m2 Studio Apartments for Sale in Muscat Al-Sifah
"37,000 OMR",140 m2 4 Bedrooms Villa for Sale in Dhofar Taqah,"Dhofar, Taqah",140 m2 4 Bedrooms Villa for Sale in Dhofar Taqah
"6,500 OMR",Residential Land for Sale in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",Residential Land for Sale in Al Batinah Al Masnaah
"126,000 OMR",425 m2 More than 6 bedrooms Townhouse for Sale in Muscat Al Khoud,"Muscat, Al Khoud",425 m2 More than 6 bedrooms Townhouse for Sale in Muscat Al Khoud
"3,000 OMR",450 m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail,"Muscat, Al-Hail",450 m2 More than 6 bedrooms Villa for Sale in Muscat Al-Hail
"35,000 OMR",Commercial Land for Sale in Dhofar Salala,"Dhofar, Salala",Commercial Land for Sale in Dhofar Salala
"66,500 OMR",328 m2 More than 6 bedrooms Villa for Sale in Al Batinah Al Rumais,"Al Batinah, Al Rumais",328 m2 More than 6 bedrooms Villa for Sale in Al Batinah Al Rumais
"14,900 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"9,000 OMR",Residential Land for Sale in Al Batinah Saham,"Al Batinah, Saham",Residential Land for Sale in Al Batinah Saham
"26,000 OMR",64 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh,"Muscat, Al Mawaleh",64 m2 1 Bedroom Apartments for Sale in Muscat Al Mawaleh
"35,000 OMR",D اراضي سكنيه في الشخاخيط امتداد المنومه فرصه للاستثمار,"Al Batinah, Barka",D اراضي سكنيه في الشخاخيط امتداد المنومه فرصه للاستثمار
