prop_price,prop_title,prop_location,prop_size
"66,500 OMR",محل للبيع-بوشر (شارع المها) مؤجر بعائد 7%,"Muscat, Bosher",محل للبيع-بوشر (شارع المها) مؤجر بعائد 7%
"155,000 OMR",503 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud,"Muscat, Al Khoud",503 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud
"37,000 OMR","Flat Apartment Maabelah South Al Noor st, Ground Floor 136sq","Muscat, Al Maabilah","Flat Apartment Maabelah South Al Noor st, Ground Floor 136sq"
"32,000 OMR",Residential Land for Sale in Dhofar Salala,"Dhofar, Salala",Residential Land for Sale in Dhofar Salala
"125,000 OMR",Commercial Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Commercial Land for Sale in Muscat Al Maabilah
"16,500 OMR",فرصتك الذهبية! محل للبيع بسعر مغري في موقع استراتيجي- المعبيلة,"Muscat, Al Maabilah",فرصتك الذهبية! محل للبيع بسعر مغري في موقع استراتيجي- المعبيلة
"115,000 OMR",Commercial Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Commercial Land for Sale in Muscat Al Maabilah
"86,000 OMR",Residential Land for Sale in Muscat Al Khoud,"Muscat, Al Khoud",Residential Land for Sale in Muscat Al Khoud
"80,000 OMR",422 m2 5 Bedrooms Villa for Sale in Al Batinah Barka,"Al Batinah, Barka",422 m2 5 Bedrooms Villa for Sale in Al Batinah Barka
"7,900 OMR",Residential Land for Sale in Al Batinah Saham,"Al Batinah, Saham",Residential Land for Sale in Al Batinah Saham
"125,000 OMR",Commercial Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Commercial Land for Sale in Muscat Al Maabilah
"240,000 OMR",Commercial Land for Sale in Muscat Ghala,"Muscat, Ghala",Commercial Land for Sale in Muscat Ghala
"92,000 OMR",Freehold Luxurious 1-Bedroom Apartment in Al Mouj,"Muscat, Al Mouj",Freehold Luxurious 1-Bedroom Apartment in Al Mouj
"47,500 OMR",54 m2 2 Bedrooms Apartments for Sale in Muscat Madinat As Sultan Qaboos,"Muscat, Madinat As Sultan Qaboos",54 m2 2 Bedrooms Apartments for Sale in Muscat Madinat As Sultan Qaboos
"65,000 OMR",Residential Land for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",Residential Land for Sale in Muscat Al Maabilah
"40,000 OMR",Industrial Land for Sale in Muscat Quriyat,"Muscat, Quriyat",Industrial Land for Sale in Muscat Quriyat
"57,000 OMR",97 m2 2 Bedrooms Apartments for Sale in Muscat Madinat As Sultan Qaboos,"Muscat, Madinat As Sultan Qaboos",97 m2 2 Bedrooms Apartments for Sale in Muscat Madinat As Sultan Qaboos
"57,000 OMR",97 m2 2 Bedrooms Apartments for Sale in Muscat Madinat As Sultan Qaboos,"Muscat, Madinat As Sultan Qaboos",97 m2 2 Bedrooms Apartments for Sale in Muscat Madinat As Sultan Qaboos
"31,000 OMR",132 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",132 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah
"300,000 OMR",Residential Land for Sale in Muscat Al Khuwair,"Muscat, Al Khuwair",Residential Land for Sale in Muscat Al Khuwair
"24,400 OMR",58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"Muscat, Al Khoud",58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud
"38,000 OMR",Residential Land for Sale in Muscat Amerat,"Muscat, Amerat",Residential Land for Sale in Muscat Amerat
"24,500 OMR",61 m2 1 Bedroom Apartments for Sale in Muscat Bosher,"Muscat, Bosher",61 m2 1 Bedroom Apartments for Sale in Muscat Bosher
"13,900 OMR",Residential Land for Sale in Muscat Seeb,"Muscat, Seeb",Residential Land for Sale in Muscat Seeb
"24,400 OMR",58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,"Muscat, Al Khoud",58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud
"26,000 OMR",120 m2 Studio Townhouse for Sale in Al Batinah Saham,"Al Batinah, Saham",120 m2 Studio Townhouse for Sale in Al Batinah Saham
"39,500 OMR",122 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah,"Muscat, Al Maabilah",122 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah
"7,900 OMR",Residential Land for Sale in Al Batinah Barka,"Al Batinah, Barka",Residential Land for Sale in Al Batinah Barka
"49,500 OMR",Commercial Land for Sale in Muscat Amerat,"Muscat, Amerat",Commercial Land for Sale in Muscat Amerat
