prop_price,prop_title,prop_location,prop_size,number_room
"92,000",Apartment,"Muscat Hills, Muscat",117 Sq. M.,2
"87,000",Villa,"Nizwa, Al Dakhiliya",525 Sq. M.,6
140,Residential Land,"Barka, Al Batinah","17,829 Sq. M.",not available
"7,300",Residential Land,"Bahla, Al Dakhiliya",835 Sq. M.,not available
"1,010",Residential Land,"Al Maabilah, Muscat","6,000 Sq. M.",not available
"13,500",Residential Land,"Bahla, Al Dakhiliya",630 Sq. M.,not available
"4,000",Residential Land,"Al Rustaq, Al Batinah",500 Sq. M.,not available
"30,000",Apartment,"Bosher, Muscat",60 Sq. M.,1
"4,500",Residential Land,"Al Amarat, Muscat",600 Sq. M.,not available
"10,000",Residential Land,"Barka, Al Batinah",600 Sq. M.,not available
"58,000",Apartment,"Al Sifah, Muscat",64 Sq. M.,1
"23,000",Residential Land,"Barka, Al Batinah",600 Sq. M.,not available
"176,000",Villa,"Al Maabilah, Muscat",240 Sq. M.,3
"6,000",Residential Land,"Al Mudaibi, Al Sharqiya",600 Sq. M.,not available
"12,500",Residential Land,"Masira, Al Sharqiya","1,278 Sq. M.",not available
"39,000",Apartment,"Al Hail, Muscat",79 Sq. M.,1
"12,500",Residential Land,"Ibri, Al Dhahirah","1,218 Sq. M.",not available
"165,000",Apartment,"The Wave (Almouj), Muscat",83 Sq. M.,1
"406,960",Villa,"Qantab, Muscat",426 Sq. M.,3
"46,150",Apartment,"Sultan Haitham City, Muscat",71 Sq. M.,1
"55,000",Residential Land,"Barka, Al Batinah","1,562 Sq. M.",not available
"65,000",Residential Land,"Al Seeb, Muscat",827 Sq. M.,not available
"112,000",Villa,"Al Khoud, Muscat",390 Sq. M.,6
"50,000",Apartment,"Bosher, Muscat",122 Sq. M.,3
"115,000",Villa,"Qurum, Muscat",260 Sq. M.,4
"150,000",Villa,"Azaiba, Muscat",460 Sq. M.,7
"74,000",Apartment,"Salalah, Dhofar",61 Sq. M.,2
"5,000",Residential Land,"Al Buraimi, Al Buraimi",624 Sq. M.,not available
"63,000",Residential Land,"Barka, Al Batinah","1,272 Sq. M.",not available
"100,000",Apartment,"Salalah, Dhofar",85 Sq. M.,1
"190,000",Villa,"Ansab, Muscat",527 Sq. M.,6
"70,000",Villa,"Al Amarat, Muscat",534 Sq. M.,5
"103,000",Apartment,"Muscat Hills, Muscat",168 Sq. M.,2
"50,000",Villa,"Barka, Al Batinah",176 Sq. M.,3
"50,000",Villa,"Sohar, Al Batinah",610 Sq. M.,2
"55,000",Residential Land,"Al Qabil, Al Sharqiya","6,050 Sq. M.",not available
"14,000",Residential Land,"Al 'Awabi, Al Batinah",500 Sq. M.,not available
"50,070",Apartment,"Sultan Haitham City, Muscat",67 Sq. M.,1
"330,000",Villa,"Muscat Hills, Muscat",280 Sq. M.,4
"248,000",Apartment,"The Wave (Almouj), Muscat",245 Sq. M.,3
"14,900",Residential Land,"Ja'alan Bani Bu Ali, Al Sharqiya",656 Sq. M.,not available
"144,554",Apartment,"Yiti, Muscat",117 Sq. M.,2
"26,000",Apartment,"Al Maabilah, Muscat",102 Sq. M.,2
"65,000",Villa,"Al Amarat, Muscat",300 Sq. M.,5
"78,500",Chalet,"Barka, Al Batinah",150 Sq. M.,2
"125,000",Villa,"Al Mawaleh, Muscat",634 Sq. M.,4
"35,500",Apartment,"Bosher, Muscat",79 Sq. M.,1
"29,000",Apartment,"Bosher, Muscat",67 Sq. M.,1
"178,000",Villa,"Al Maabilah, Muscat",249 Sq. M.,5
"20,000",Residential Land,"Barka, Al Batinah",479 Sq. M.,not available
"41,600",Apartment,"Sultan Haitham City, Muscat",56 Sq. M.,not available
"18,000",Residential Land,"Barka, Al Batinah",600 Sq. M.,not available
"35,000",Apartment,"Ghala, Muscat",67 Sq. M.,1
"27,000",Apartment,"Mirbat, Dhofar",70 Sq. M.,2
"38,500",Residential Land,"Al Maabilah, Muscat",600 Sq. M.,not available
"57,000",Residential Land,"Al Seeb, Muscat",119 Sq. M.,not available
"185,000",Villa,"The Wave (Almouj), Muscat",128 Sq. M.,2
"5,150",Residential Land,"Barka, Al Batinah",609 Sq. M.,not available
"65,000",Apartment,"Muscat Hills, Muscat",46 Sq. M.,not available
"95,326",Apartment,"Yiti, Muscat",59 Sq. M.,1
"10,000",Residential Land,"Saham, Al Batinah",600 Sq. M.,not available
"950,000",Villa,"Qantab, Muscat",750 Sq. M.,5
"140,375",Apartment,"Qantab, Muscat",115 Sq. M.,2
"356,040",Villa,"Qantab, Muscat",357 Sq. M.,3
"140,000",Apartment,"Al Sifah, Muscat",159 Sq. M.,2
"205,000",Chalet,"Al Sifah, Muscat",177 Sq. M.,3
"70,850",Apartment,"Sultan Haitham City, Muscat",109 Sq. M.,2
"204,000",Apartment,"Sultan Haitham City, Muscat",272 Sq. M.,4
